customer_id,age,gender,previous_purchases,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,shipping_type,discount_applied,promo_code_used,payment_method,created_at,updated_at
1737,57,Male,43,Shorts,Clothing,61,Tennessee,M,Purple,Summer,2.6,2-Day Shipping,No,No,Cash,2025-04-28 10:00:51,2025-04-28 10:00:51
3180,57,Female,12,Shorts,Clothing,88,Idaho,M,Olive,Spring,4.3,Free Shipping,No,No,Debit Card,2025-04-12 06:33:37,2025-04-12 06:33:37
2134,21,Male,13,Hat,Accessories,34,Maine,M,Olive,Summer,3.8,Standard,No,No,PayPal,2025-03-12 21:30:40,2025-03-12 21:30:40
2560,48,Male,21,Belt,Accessories,71,Mississippi,S,Green,Winter,4.0,Free Shipping,No,No,Venmo,2025-04-10 14:20:22,2025-04-10 14:20:22
2063,54,Male,15,Coat,Outerwear,63,South Carolina,L,Silver,Fall,2.8,Standard,No,No,PayPal,2025-02-10 00:31:54,2025-02-10 00:31:54
2906,58,Female,14,Sunglasses,Accessories,53,New York,L,Black,Winter,4.8,Standard,No,No,PayPal,2025-03-28 22:46:00,2025-03-28 22:46:00
563,53,Male,40,Jeans,Clothing,62,Missouri,M,Blue,Summer,3.5,Standard,Yes,Yes,PayPal,2025-02-12 06:40:37,2025-02-12 06:40:37
3075,26,Female,34,Boots,Footwear,55,Massachusetts,L,Maroon,Winter,4.2,Next Day Air,No,No,Bank Transfer,2025-04-25 08:43:02,2025-04-25 08:43:02
3170,35,Female,3,T-shirt,Clothing,59,Georgia,M,White,Fall,3.8,Free Shipping,No,No,Venmo,2025-03-18 07:50:51,2025-03-18 07:50:51
546,33,Male,48,Coat,Outerwear,32,Alabama,L,Magenta,Summer,3.5,2-Day Shipping,Yes,Yes,Bank Transfer,2025-03-08 16:25:56,2025-03-08 16:25:56
3650,68,Female,33,Skirt,Clothing,57,Minnesota,M,Brown,Fall,4.4,Standard,No,No,Debit Card,2025-02-23 04:21:09,2025-02-23 04:21:09
2273,29,Male,44,Jacket,Outerwear,38,Maine,L,Charcoal,Spring,4.0,Standard,No,No,Venmo,2025-04-10 00:44:51,2025-04-10 00:44:51
3073,26,Female,46,Jewelry,Accessories,98,New York,L,Peach,Spring,3.1,Standard,No,No,Venmo,2025-03-12 10:00:20,2025-03-12 10:00:20
705,34,Male,18,Hoodie,Clothing,66,Idaho,S,Black,Spring,3.2,Express,Yes,Yes,Venmo,2025-03-22 12:25:33,2025-03-22 12:25:33
600,51,Male,27,Boots,Footwear,26,Massachusetts,L,Teal,Spring,4.2,Standard,Yes,Yes,Cash,2025-02-01 01:44:39,2025-02-01 01:44:39
891,52,Male,47,Gloves,Accessories,51,New York,S,Purple,Spring,4.3,2-Day Shipping,Yes,Yes,Credit Card,2025-03-26 22:39:08,2025-03-26 22:39:08
2000,39,Male,26,Socks,Clothing,89,Tennessee,L,Indigo,Winter,4.6,2-Day Shipping,No,No,Credit Card,2025-03-26 10:41:30,2025-03-26 10:41:30
3258,44,Female,39,Shirt,Clothing,98,Minnesota,M,Brown,Fall,3.3,Express,No,No,PayPal,2025-03-26 21:08:15,2025-03-26 21:08:15
1749,34,Male,41,Skirt,Clothing,93,Montana,L,Teal,Winter,3.9,2-Day Shipping,No,No,Bank Transfer,2025-04-25 06:43:45,2025-04-25 06:43:45
2182,22,Male,32,Handbag,Accessories,63,Hawaii,M,Black,Fall,3.2,Free Shipping,No,No,Venmo,2025-04-01 17:13:38,2025-04-01 17:13:38
2789,56,Female,2,Boots,Footwear,92,Rhode Island,M,Olive,Summer,3.1,Free Shipping,No,No,Cash,2025-03-03 17:21:17,2025-03-03 17:21:17
2731,23,Female,37,Gloves,Accessories,32,Wisconsin,M,Teal,Winter,4.1,Store Pickup,No,No,Bank Transfer,2025-03-10 16:43:45,2025-03-10 16:43:45
1851,51,Male,50,Gloves,Accessories,76,Wyoming,S,Black,Winter,2.8,Store Pickup,No,No,Credit Card,2025-04-03 03:21:46,2025-04-03 03:21:46
2703,70,Female,39,Shoes,Footwear,37,Texas,L,Gray,Fall,4.0,Next Day Air,No,No,PayPal,2025-02-04 19:12:14,2025-02-04 19:12:14
1944,32,Male,45,Socks,Clothing,53,Wisconsin,L,Violet,Summer,3.8,Next Day Air,No,No,Debit Card,2025-03-31 08:43:35,2025-03-31 08:43:35
3793,43,Female,2,Scarf,Accessories,58,Massachusetts,S,Turquoise,Summer,2.6,Express,No,No,Credit Card,2025-03-31 17:05:03,2025-03-31 17:05:03
3098,48,Female,39,Shoes,Footwear,33,Delaware,M,Silver,Fall,3.7,Free Shipping,No,No,Debit Card,2025-02-18 07:23:35,2025-02-18 07:23:35
2138,27,Male,20,Socks,Clothing,51,Indiana,XL,Purple,Winter,4.6,2-Day Shipping,No,No,Bank Transfer,2025-02-10 23:31:44,2025-02-10 23:31:44
2626,30,Male,31,Skirt,Clothing,51,Colorado,L,Cyan,Summer,2.7,Standard,No,No,Bank Transfer,2025-02-27 18:11:13,2025-02-27 18:11:13
2823,61,Female,33,Skirt,Clothing,37,New Jersey,S,Brown,Fall,4.1,Standard,No,No,PayPal,2025-03-04 02:25:43,2025-03-04 02:25:43
868,37,Male,23,Jacket,Outerwear,20,Colorado,M,Turquoise,Spring,3.1,Free Shipping,Yes,Yes,Debit Card,2025-03-22 16:13:55,2025-03-22 16:13:55
3097,69,Female,20,Shirt,Clothing,63,Kansas,L,White,Winter,3.5,Next Day Air,No,No,PayPal,2025-03-10 20:07:04,2025-03-10 20:07:04
46,50,Male,25,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,2-Day Shipping,Yes,Yes,Venmo,2025-04-29 07:04:34,2025-04-29 07:04:34
1452,54,Male,35,Jacket,Outerwear,34,Utah,M,Maroon,Fall,2.5,Next Day Air,Yes,Yes,Venmo,2025-02-08 13:29:31,2025-02-08 13:29:31
662,57,Male,39,Shirt,Clothing,68,Iowa,XL,Green,Fall,4.1,Store Pickup,Yes,Yes,Cash,2025-02-18 04:08:31,2025-02-18 04:08:31
579,69,Male,22,Sandals,Footwear,90,Maine,M,Purple,Fall,4.6,Next Day Air,Yes,Yes,Debit Card,2025-02-13 21:26:40,2025-02-13 21:26:40
1814,40,Male,24,Shorts,Clothing,62,Illinois,M,Olive,Spring,3.5,Free Shipping,No,No,Credit Card,2025-03-30 03:14:17,2025-03-30 03:14:17
3325,37,Female,41,T-shirt,Clothing,32,Missouri,S,Red,Fall,3.3,Standard,No,No,Venmo,2025-02-22 04:02:01,2025-02-22 04:02:01
2574,54,Male,1,T-shirt,Clothing,90,New Mexico,M,Red,Summer,4.4,Store Pickup,No,No,Bank Transfer,2025-03-13 07:56:31,2025-03-13 07:56:31
1078,58,Male,5,Jacket,Outerwear,28,West Virginia,M,Pink,Winter,3.7,Standard,Yes,Yes,Cash,2025-02-21 08:53:31,2025-02-21 08:53:31
3797,40,Female,47,Shorts,Clothing,81,Utah,M,Lavender,Fall,3.2,Free Shipping,No,No,Credit Card,2025-02-13 16:23:33,2025-02-13 16:23:33
535,65,Male,4,Gloves,Accessories,72,Florida,L,Pink,Fall,4.5,Next Day Air,Yes,Yes,Bank Transfer,2025-02-09 07:28:37,2025-02-09 07:28:37
1377,57,Male,24,Sandals,Footwear,65,New Jersey,L,Pink,Spring,5.0,Free Shipping,Yes,Yes,Cash,2025-03-30 10:11:34,2025-03-30 10:11:34
3722,62,Female,10,Coat,Outerwear,60,Connecticut,L,Pink,Fall,4.0,Next Day Air,No,No,Credit Card,2025-02-11 19:30:51,2025-02-11 19:30:51
186,46,Male,34,T-shirt,Clothing,32,Wisconsin,XL,Silver,Summer,4.5,Store Pickup,Yes,Yes,Bank Transfer,2025-02-17 01:35:54,2025-02-17 01:35:54
34,54,Male,45,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Store Pickup,Yes,Yes,Venmo,2025-03-04 13:15:17,2025-03-04 13:15:17
2598,60,Male,13,Jewelry,Accessories,25,Alabama,XL,Teal,Summer,4.4,Store Pickup,No,No,Bank Transfer,2025-04-14 05:42:05,2025-04-14 05:42:05
2936,58,Female,11,Sneakers,Footwear,27,North Carolina,XL,Gray,Spring,4.6,Standard,No,No,Debit Card,2025-02-08 02:49:07,2025-02-08 02:49:07
534,57,Male,17,Sandals,Footwear,60,North Carolina,L,Pink,Spring,4.5,Next Day Air,Yes,Yes,PayPal,2025-04-15 18:18:00,2025-04-15 18:18:00
918,69,Male,11,Sweater,Clothing,64,Missouri,M,Maroon,Spring,3.7,Standard,Yes,Yes,Debit Card,2025-02-08 00:39:13,2025-02-08 00:39:13
89,33,Male,35,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Free Shipping,Yes,Yes,Credit Card,2025-04-28 05:21:11,2025-04-28 05:21:11
2448,59,Male,10,Pants,Clothing,47,South Dakota,L,Peach,Fall,3.2,Store Pickup,No,No,Venmo,2025-03-13 12:59:42,2025-03-13 12:59:42
2945,50,Female,4,Sneakers,Footwear,95,New York,XL,Cyan,Summer,3.9,Free Shipping,No,No,Cash,2025-04-28 06:00:15,2025-04-28 06:00:15
1010,39,Male,11,Hoodie,Clothing,30,Louisiana,M,Silver,Summer,3.1,Express,Yes,Yes,Bank Transfer,2025-03-25 19:02:19,2025-03-25 19:02:19
1161,37,Male,9,Scarf,Accessories,42,North Dakota,S,Blue,Summer,3.2,Next Day Air,Yes,Yes,Cash,2025-04-06 21:14:50,2025-04-06 21:14:50
3485,44,Female,13,Dress,Clothing,75,Illinois,L,Gray,Fall,4.2,Free Shipping,No,No,Debit Card,2025-02-02 21:47:01,2025-02-02 21:47:01
1151,29,Male,50,Jewelry,Accessories,36,Kentucky,S,Red,Winter,2.7,Next Day Air,Yes,Yes,Debit Card,2025-02-24 19:45:26,2025-02-24 19:45:26
776,49,Male,8,Handbag,Accessories,53,Kentucky,S,Gold,Winter,3.0,Store Pickup,Yes,Yes,PayPal,2025-02-10 04:40:53,2025-02-10 04:40:53
1713,65,Male,9,T-shirt,Clothing,87,Illinois,S,Beige,Fall,3.8,2-Day Shipping,No,No,Debit Card,2025-02-26 00:32:38,2025-02-26 00:32:38
3889,45,Female,14,Sneakers,Footwear,69,Virginia,M,Violet,Spring,3.4,Standard,No,No,Bank Transfer,2025-02-10 01:30:37,2025-02-10 01:30:37
2665,22,Female,37,Jewelry,Accessories,84,Illinois,L,Silver,Winter,3.2,Store Pickup,No,No,Debit Card,2025-02-27 23:42:10,2025-02-27 23:42:10
1714,49,Male,37,Jacket,Outerwear,22,Missouri,M,Pink,Winter,4.6,Free Shipping,No,No,Venmo,2025-03-08 15:34:15,2025-03-08 15:34:15
936,58,Male,2,Hoodie,Clothing,51,Ohio,L,White,Fall,2.6,Store Pickup,Yes,Yes,Credit Card,2025-02-05 03:40:17,2025-02-05 03:40:17
582,32,Male,12,Sweater,Clothing,100,Iowa,XL,Charcoal,Winter,2.7,Store Pickup,Yes,Yes,Credit Card,2025-04-02 16:13:28,2025-04-02 16:13:28
990,70,Male,2,Shoes,Footwear,31,Texas,M,Beige,Spring,3.1,Store Pickup,Yes,Yes,Bank Transfer,2025-03-22 08:28:11,2025-03-22 08:28:11
1038,52,Male,48,Jewelry,Accessories,25,Rhode Island,XL,Brown,Spring,3.4,Standard,Yes,Yes,Bank Transfer,2025-02-23 06:09:11,2025-02-23 06:09:11
2373,50,Male,9,Boots,Footwear,39,Alabama,XL,Silver,Spring,3.1,Express,No,No,Debit Card,2025-03-18 10:52:11,2025-03-18 10:52:11
171,52,Male,46,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,2.6,Store Pickup,Yes,Yes,Venmo,2025-02-07 19:59:41,2025-02-07 19:59:41
2652,51,Male,27,Sneakers,Footwear,43,Tennessee,M,Cyan,Summer,4.6,Store Pickup,No,No,Venmo,2025-03-23 04:38:44,2025-03-23 04:38:44
3418,54,Female,22,Coat,Outerwear,35,Massachusetts,M,Blue,Summer,2.9,2-Day Shipping,No,No,PayPal,2025-04-23 23:31:39,2025-04-23 23:31:39
3112,21,Female,25,Belt,Accessories,81,Kansas,XL,Indigo,Spring,4.9,Free Shipping,No,No,PayPal,2025-02-28 00:58:03,2025-02-28 00:58:03
1716,23,Male,30,Dress,Clothing,69,Idaho,XL,Gray,Spring,3.4,2-Day Shipping,No,No,PayPal,2025-03-31 10:06:58,2025-03-31 10:06:58
3747,53,Female,49,Coat,Outerwear,99,Idaho,XL,Cyan,Summer,2.6,Next Day Air,No,No,Debit Card,2025-02-11 05:43:43,2025-02-11 05:43:43
312,69,Male,19,Jeans,Clothing,52,Rhode Island,L,Silver,Winter,4.1,Store Pickup,Yes,Yes,Debit Card,2025-04-04 19:43:39,2025-04-04 19:43:39
1158,37,Male,11,Belt,Accessories,66,Maryland,M,Charcoal,Fall,4.4,Standard,Yes,Yes,Credit Card,2025-02-25 10:00:17,2025-02-25 10:00:17
1556,43,Male,44,Shorts,Clothing,47,Ohio,S,Cyan,Winter,4.5,Free Shipping,Yes,Yes,Bank Transfer,2025-02-15 20:41:14,2025-02-15 20:41:14
1663,63,Male,46,Sunglasses,Accessories,24,New Mexico,M,Olive,Winter,4.6,Free Shipping,Yes,Yes,Debit Card,2025-03-24 03:27:31,2025-03-24 03:27:31
1450,18,Male,20,Socks,Clothing,41,New York,L,Lavender,Winter,2.5,Store Pickup,Yes,Yes,Debit Card,2025-02-01 04:35:21,2025-02-01 04:35:21
3758,61,Female,33,Skirt,Clothing,44,California,L,Red,Fall,4.5,2-Day Shipping,No,No,Debit Card,2025-04-14 22:51:31,2025-04-14 22:51:31
2484,32,Male,8,Skirt,Clothing,96,Arizona,S,Teal,Fall,2.9,Standard,No,No,PayPal,2025-01-30 19:18:53,2025-01-30 19:18:53
635,36,Male,46,Sneakers,Footwear,60,Ohio,M,Teal,Summer,3.9,Standard,Yes,Yes,Bank Transfer,2025-04-01 08:34:59,2025-04-01 08:34:59
453,45,Male,39,Pants,Clothing,45,Missouri,M,Violet,Summer,3.3,Express,Yes,Yes,Debit Card,2025-02-23 16:07:27,2025-02-23 16:07:27
529,34,Male,40,Sneakers,Footwear,88,Maryland,S,Beige,Winter,3.2,Express,Yes,Yes,Venmo,2025-04-06 12:27:39,2025-04-06 12:27:39
2952,47,Female,14,Scarf,Accessories,99,Arkansas,L,Maroon,Fall,4.6,Free Shipping,No,No,Credit Card,2025-04-26 22:32:32,2025-04-26 22:32:32
1226,28,Male,16,Gloves,Accessories,97,North Carolina,S,Turquoise,Fall,2.6,Free Shipping,Yes,Yes,Credit Card,2025-02-21 18:14:06,2025-02-21 18:14:06
2723,23,Female,22,Hat,Accessories,83,Maine,M,Green,Spring,2.8,2-Day Shipping,No,No,PayPal,2025-03-23 05:06:03,2025-03-23 05:06:03
3199,61,Female,39,Gloves,Accessories,94,Pennsylvania,L,Peach,Winter,2.8,Free Shipping,No,No,Cash,2025-03-24 15:23:44,2025-03-24 15:23:44
3725,30,Female,18,Gloves,Accessories,71,Colorado,L,Green,Winter,3.1,Express,No,No,PayPal,2025-03-22 20:40:08,2025-03-22 20:40:08
2440,55,Male,45,Handbag,Accessories,44,Arkansas,M,Maroon,Summer,2.8,Standard,No,No,Cash,2025-02-19 10:48:37,2025-02-19 10:48:37
3891,35,Female,33,Shirt,Clothing,81,Nebraska,XL,Green,Winter,2.6,Standard,No,No,Credit Card,2025-04-26 02:09:44,2025-04-26 02:09:44
2659,52,Female,39,Handbag,Accessories,47,Ohio,XL,Indigo,Summer,3.2,Next Day Air,No,No,Bank Transfer,2025-03-11 14:31:15,2025-03-11 14:31:15
2970,36,Female,20,Belt,Accessories,62,Vermont,S,Blue,Fall,4.3,Next Day Air,No,No,Bank Transfer,2025-04-16 12:34:24,2025-04-16 12:34:24
1722,34,Male,24,Jewelry,Accessories,28,Delaware,S,Magenta,Spring,4.3,Free Shipping,No,No,Venmo,2025-04-03 07:21:10,2025-04-03 07:21:10
1692,64,Male,4,Shoes,Footwear,61,Connecticut,L,Blue,Summer,3.5,Next Day Air,No,No,Credit Card,2025-02-26 03:20:36,2025-02-26 03:20:36
3629,53,Female,35,Blouse,Clothing,88,Georgia,L,Purple,Summer,3.8,Free Shipping,No,No,Cash,2025-04-13 14:10:00,2025-04-13 14:10:00
655,24,Male,23,Handbag,Accessories,59,California,L,Gray,Summer,4.4,2-Day Shipping,Yes,Yes,Bank Transfer,2025-03-07 01:13:59,2025-03-07 01:13:59
1734,67,Male,22,Blouse,Clothing,85,New York,L,Black,Summer,3.4,Express,No,No,Bank Transfer,2025-04-19 15:28:44,2025-04-19 15:28:44
667,35,Male,30,Hoodie,Clothing,26,Colorado,L,Turquoise,Winter,3.1,Free Shipping,Yes,Yes,Cash,2025-03-23 16:08:43,2025-03-23 16:08:43
1458,58,Male,47,Shirt,Clothing,57,Pennsylvania,S,Gray,Spring,4.7,Express,Yes,Yes,Bank Transfer,2025-04-19 16:50:37,2025-04-19 16:50:37
1119,49,Male,11,Belt,Accessories,65,Indiana,M,Purple,Summer,4.9,Standard,Yes,Yes,Debit Card,2025-04-02 16:21:10,2025-04-02 16:21:10
3030,64,Female,1,Dress,Clothing,82,Georgia,M,Gold,Summer,3.1,Free Shipping,No,No,Bank Transfer,2025-04-05 15:00:04,2025-04-05 15:00:04
3607,41,Female,41,Sandals,Footwear,90,Minnesota,XL,Purple,Fall,4.8,Express,No,No,Cash,2025-03-16 11:32:11,2025-03-16 11:32:11
1074,22,Male,33,Scarf,Accessories,96,California,XL,Purple,Spring,4.0,Store Pickup,Yes,Yes,Cash,2025-04-26 09:21:42,2025-04-26 09:21:42
1006,43,Male,5,Backpack,Accessories,94,New York,M,Gold,Winter,3.9,Store Pickup,Yes,Yes,Credit Card,2025-03-29 07:33:07,2025-03-29 07:33:07
532,50,Male,42,Sandals,Footwear,51,Vermont,L,Purple,Fall,3.4,Next Day Air,Yes,Yes,Bank Transfer,2025-03-09 12:16:48,2025-03-09 12:16:48
1304,34,Male,10,Blouse,Clothing,32,New York,L,Silver,Summer,3.1,Next Day Air,Yes,Yes,Venmo,2025-03-25 22:22:48,2025-03-25 22:22:48
2,19,Male,2,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Express,Yes,Yes,Bank Transfer,2025-02-01 02:36:55,2025-02-01 02:36:55
1175,42,Male,19,Backpack,Accessories,31,Michigan,M,Black,Winter,4.3,Express,Yes,Yes,Cash,2025-02-26 12:16:38,2025-02-26 12:16:38
1953,57,Male,50,Shoes,Footwear,82,Maryland,L,Yellow,Summer,4.6,2-Day Shipping,No,No,PayPal,2025-03-30 18:29:30,2025-03-30 18:29:30
3775,57,Female,48,Gloves,Accessories,83,Alaska,S,Cyan,Winter,3.9,Standard,No,No,Venmo,2025-02-25 11:27:17,2025-02-25 11:27:17
3130,60,Female,40,Sandals,Footwear,20,Maryland,S,Cyan,Summer,4.7,Express,No,No,PayPal,2025-03-26 23:28:21,2025-03-26 23:28:21
940,25,Male,24,T-shirt,Clothing,89,New York,L,Indigo,Winter,4.8,Next Day Air,Yes,Yes,Venmo,2025-03-09 22:53:19,2025-03-09 22:53:19
3646,38,Female,31,Backpack,Accessories,90,Colorado,L,Silver,Summer,3.4,Free Shipping,No,No,Credit Card,2025-02-11 13:39:56,2025-02-11 13:39:56
458,25,Male,48,Gloves,Accessories,99,Rhode Island,M,Blue,Spring,4.9,Next Day Air,Yes,Yes,Credit Card,2025-02-26 05:10:07,2025-02-26 05:10:07
588,29,Male,48,Socks,Clothing,86,Washington,S,Maroon,Fall,4.2,Express,Yes,Yes,PayPal,2025-03-22 15:43:53,2025-03-22 15:43:53
3746,60,Female,2,Socks,Clothing,41,Washington,L,Gold,Spring,4.3,Express,No,No,Bank Transfer,2025-03-24 12:52:17,2025-03-24 12:52:17
3580,34,Female,19,Scarf,Accessories,66,Arizona,L,Olive,Fall,4.8,Standard,No,No,Bank Transfer,2025-03-23 01:08:43,2025-03-23 01:08:43
2528,19,Male,33,Pants,Clothing,36,Illinois,M,Gold,Fall,3.6,Express,No,No,Cash,2025-03-30 03:26:16,2025-03-30 03:26:16
2748,18,Female,21,Jeans,Clothing,62,West Virginia,M,Teal,Winter,3.1,Free Shipping,No,No,Debit Card,2025-03-30 01:04:05,2025-03-30 01:04:05
3792,40,Female,1,Sunglasses,Accessories,51,Texas,M,Gray,Spring,3.7,Store Pickup,No,No,Credit Card,2025-03-10 04:36:34,2025-03-10 04:36:34
225,63,Male,12,Socks,Clothing,83,South Dakota,S,Beige,Summer,2.9,Free Shipping,Yes,Yes,PayPal,2025-04-21 00:49:16,2025-04-21 00:49:16
1451,25,Male,25,Dress,Clothing,44,Illinois,S,Teal,Winter,3.4,Free Shipping,Yes,Yes,PayPal,2025-03-04 10:44:35,2025-03-04 10:44:35
3026,40,Female,7,Shoes,Footwear,60,Montana,XL,Green,Summer,3.4,Store Pickup,No,No,Debit Card,2025-03-10 14:12:34,2025-03-10 14:12:34
769,64,Male,45,Backpack,Accessories,95,Illinois,XL,Red,Spring,2.6,Express,Yes,Yes,PayPal,2025-04-20 14:50:23,2025-04-20 14:50:23
3837,62,Female,38,Skirt,Clothing,84,Alaska,M,Violet,Spring,2.5,Free Shipping,No,No,Venmo,2025-04-12 21:45:00,2025-04-12 21:45:00
3215,53,Female,6,Skirt,Clothing,78,Washington,M,Yellow,Spring,3.1,Free Shipping,No,No,Bank Transfer,2025-04-03 16:52:21,2025-04-03 16:52:21
1149,34,Male,10,Pants,Clothing,66,Florida,M,Violet,Spring,2.6,Store Pickup,Yes,Yes,Bank Transfer,2025-02-08 09:34:01,2025-02-08 09:34:01
2227,22,Male,28,Shirt,Clothing,72,Missouri,L,Blue,Spring,4.8,Store Pickup,No,No,Credit Card,2025-04-23 02:20:24,2025-04-23 02:20:24
468,19,Male,37,Backpack,Accessories,51,Nebraska,S,Orange,Spring,4.5,2-Day Shipping,Yes,Yes,Credit Card,2025-04-04 15:13:27,2025-04-04 15:13:27
963,29,Male,26,Sunglasses,Accessories,64,Michigan,L,Green,Spring,4.4,Standard,Yes,Yes,Cash,2025-04-30 05:41:16,2025-04-30 05:41:16
759,66,Male,39,Shoes,Footwear,71,Massachusetts,L,Peach,Summer,4.6,2-Day Shipping,Yes,Yes,Bank Transfer,2025-02-12 19:50:09,2025-02-12 19:50:09
1992,46,Male,1,Sneakers,Footwear,29,Missouri,M,Brown,Summer,3.7,Next Day Air,No,No,Venmo,2025-04-18 11:27:40,2025-04-18 11:27:40
1342,26,Male,31,Hoodie,Clothing,27,Rhode Island,XL,Yellow,Fall,2.9,Standard,Yes,Yes,Debit Card,2025-02-13 23:59:58,2025-02-13 23:59:58
3652,20,Female,5,Handbag,Accessories,32,Arizona,M,Yellow,Spring,3.8,Express,No,No,Bank Transfer,2025-03-26 18:10:13,2025-03-26 18:10:13
669,49,Male,35,T-shirt,Clothing,85,Hawaii,S,Turquoise,Fall,2.9,Express,Yes,Yes,Credit Card,2025-02-10 12:30:16,2025-02-10 12:30:16
1476,44,Male,24,Blouse,Clothing,61,Rhode Island,M,Teal,Spring,4.0,Express,Yes,Yes,Bank Transfer,2025-04-16 16:01:37,2025-04-16 16:01:37
1703,54,Male,48,Jeans,Clothing,83,Alabama,XL,Yellow,Summer,5.0,Express,No,No,Debit Card,2025-04-13 00:10:43,2025-04-13 00:10:43
2963,57,Female,42,Pants,Clothing,40,California,L,Pink,Fall,4.0,Express,No,No,PayPal,2025-03-22 13:51:56,2025-03-22 13:51:56
2836,33,Female,7,T-shirt,Clothing,84,Vermont,S,Pink,Winter,4.9,Free Shipping,No,No,Credit Card,2025-03-08 00:17:09,2025-03-08 00:17:09
3509,52,Female,49,Pants,Clothing,54,Pennsylvania,M,Gray,Fall,4.7,Standard,No,No,Venmo,2025-02-05 14:30:31,2025-02-05 14:30:31
464,37,Male,29,Jewelry,Accessories,81,Georgia,S,Orange,Summer,2.7,Standard,Yes,Yes,Venmo,2025-04-03 02:55:33,2025-04-03 02:55:33
2761,41,Female,41,Skirt,Clothing,82,Alaska,S,Violet,Fall,5.0,Next Day Air,No,No,Bank Transfer,2025-03-12 04:22:33,2025-03-12 04:22:33
