item_purchased,category,purchase_amount_usd,location,size,color,season,discount_applied,promo_code_used,payment_method,created_at,updated_at
Hat,Accessories,84,Tennessee,L,Indigo,Winter,Yes,Yes,Venmo,2025-03-08 14:30:09,2025-03-08 14:30:09
Shorts,Clothing,25,Tennessee,M,Beige,Fall,No,No,Debit Card,2025-02-13 00:14:07,2025-02-13 00:14:07
Blouse,Clothing,35,Tennessee,M,Orange,Fall,No,No,Credit Card,2025-02-13 23:05:34,2025-02-13 23:05:34
Backpack,Accessories,58,Tennessee,XL,Green,Summer,No,No,Debit Card,2025-04-27 01:18:32,2025-04-27 01:18:32
Coat,Outerwear,36,Tennessee,M,Olive,Spring,Yes,Yes,Bank Transfer,2025-02-26 19:35:41,2025-02-26 19:35:41
Sneakers,Footwear,45,Tennessee,M,Violet,Spring,Yes,Yes,Venmo,2025-04-25 01:44:40,2025-04-25 01:44:40
Shoes,Footwear,90,Tennessee,M,White,Fall,No,No,Credit Card,2025-02-06 04:25:14,2025-02-06 04:25:14
Socks,Clothing,46,Tennessee,M,Red,Winter,Yes,Yes,Credit Card,2025-03-12 20:03:03,2025-03-12 20:03:03
Hat,Accessories,77,Tennessee,M,Beige,Winter,No,No,PayPal,2025-02-11 01:01:29,2025-02-11 01:01:29
Hoodie,Clothing,93,Tennessee,M,White,Spring,No,No,Debit Card,2025-01-30 19:30:47,2025-01-30 19:30:47
Hoodie,Clothing,81,Tennessee,M,Maroon,Winter,Yes,Yes,Bank Transfer,2025-03-21 04:45:29,2025-03-21 04:45:29
Handbag,Accessories,84,Tennessee,S,Purple,Fall,Yes,Yes,Venmo,2025-02-09 15:04:28,2025-02-09 15:04:28
Sneakers,Footwear,25,Tennessee,M,Gold,Fall,Yes,Yes,Bank Transfer,2025-04-05 08:01:41,2025-04-05 08:01:41
Boots,Footwear,95,Tennessee,S,Maroon,Winter,No,No,Debit Card,2025-04-03 04:24:37,2025-04-03 04:24:37
Shoes,Footwear,86,Tennessee,M,Gold,Winter,No,No,Cash,2025-02-15 05:52:47,2025-02-15 05:52:47
Boots,Footwear,55,Tennessee,S,Purple,Spring,No,No,Debit Card,2025-04-25 02:23:54,2025-04-25 02:23:54
T-shirt,Clothing,45,Tennessee,L,Maroon,Spring,Yes,Yes,Credit Card,2025-04-05 05:54:35,2025-04-05 05:54:35
Hoodie,Clothing,82,Tennessee,S,Peach,Fall,No,No,Venmo,2025-02-26 04:29:42,2025-02-26 04:29:42
Jeans,Clothing,34,Tennessee,S,Blue,Spring,Yes,Yes,Cash,2025-04-04 04:24:46,2025-04-04 04:24:46
Sweater,Clothing,40,Tennessee,M,Silver,Winter,No,No,PayPal,2025-04-06 05:24:52,2025-04-06 05:24:52
Jacket,Outerwear,55,Tennessee,L,Brown,Winter,Yes,Yes,Venmo,2025-03-02 04:02:37,2025-03-02 04:02:37
Skirt,Clothing,34,Tennessee,M,White,Spring,No,No,Debit Card,2025-03-05 04:04:22,2025-03-05 04:04:22
Scarf,Accessories,69,Tennessee,L,Lavender,Fall,Yes,Yes,PayPal,2025-03-03 16:29:17,2025-03-03 16:29:17
Sweater,Clothing,54,Tennessee,S,Cyan,Winter,No,No,Venmo,2025-03-26 20:27:23,2025-03-26 20:27:23
Coat,Outerwear,37,Tennessee,M,Yellow,Summer,No,No,Debit Card,2025-04-21 09:09:45,2025-04-21 09:09:45
Gloves,Accessories,44,Tennessee,XL,Peach,Summer,No,No,Debit Card,2025-02-14 23:06:05,2025-02-14 23:06:05
Dress,Clothing,86,Tennessee,S,Maroon,Winter,Yes,Yes,Bank Transfer,2025-04-19 02:43:59,2025-04-19 02:43:59
Sandals,Footwear,72,Tennessee,XL,Blue,Summer,Yes,Yes,Credit Card,2025-02-01 20:52:49,2025-02-01 20:52:49
Sunglasses,Accessories,66,Tennessee,M,Brown,Fall,No,No,Bank Transfer,2025-03-30 18:50:53,2025-03-30 18:50:53
Jeans,Clothing,52,Tennessee,XL,Orange,Fall,Yes,Yes,Debit Card,2025-03-08 15:57:02,2025-03-08 15:57:02
Shoes,Footwear,76,Tennessee,M,Gold,Fall,No,No,Cash,2025-04-11 13:33:14,2025-04-11 13:33:14
Jewelry,Accessories,22,Tennessee,M,White,Winter,No,No,PayPal,2025-04-05 06:14:38,2025-04-05 06:14:38
Shirt,Clothing,46,Tennessee,L,Yellow,Fall,Yes,Yes,Debit Card,2025-03-14 13:43:47,2025-03-14 13:43:47
Sneakers,Footwear,66,Tennessee,L,Magenta,Summer,Yes,Yes,Cash,2025-03-29 07:16:46,2025-03-29 07:16:46
Pants,Clothing,76,Tennessee,L,Black,Winter,Yes,Yes,Bank Transfer,2025-03-16 12:30:19,2025-03-16 12:30:19
Shoes,Footwear,99,Tennessee,M,Charcoal,Spring,No,No,Cash,2025-04-13 09:14:44,2025-04-13 09:14:44
Shorts,Clothing,62,Tennessee,M,Yellow,Spring,Yes,Yes,Cash,2025-03-14 05:02:33,2025-03-14 05:02:33
Backpack,Accessories,51,Tennessee,M,Red,Spring,Yes,Yes,Debit Card,2025-03-18 10:40:15,2025-03-18 10:40:15
T-shirt,Clothing,32,Tennessee,S,Orange,Winter,No,No,Bank Transfer,2025-02-21 22:03:04,2025-02-21 22:03:04
Blouse,Clothing,78,Tennessee,M,Gray,Spring,No,No,PayPal,2025-03-25 19:27:54,2025-03-25 19:27:54
Sweater,Clothing,54,Tennessee,M,Olive,Spring,Yes,Yes,Venmo,2025-02-26 15:08:55,2025-02-26 15:08:55
Dress,Clothing,54,Tennessee,XL,White,Summer,Yes,Yes,Credit Card,2025-03-23 07:32:00,2025-03-23 07:32:00
Sweater,Clothing,83,Tennessee,XL,Yellow,Fall,Yes,Yes,PayPal,2025-02-14 15:30:44,2025-02-14 15:30:44
Skirt,Clothing,58,Tennessee,L,Teal,Fall,No,No,Bank Transfer,2025-02-13 17:28:15,2025-02-13 17:28:15
Coat,Outerwear,75,Tennessee,S,Violet,Summer,No,No,Bank Transfer,2025-03-08 21:32:39,2025-03-08 21:32:39
Shirt,Clothing,96,Tennessee,M,Purple,Spring,No,No,Venmo,2025-03-09 18:40:49,2025-03-09 18:40:49
Shorts,Clothing,94,Tennessee,M,Violet,Fall,No,No,Cash,2025-02-23 12:01:30,2025-02-23 12:01:30
Sandals,Footwear,96,Tennessee,M,Indigo,Winter,No,No,Debit Card,2025-02-11 05:17:41,2025-02-11 05:17:41
Scarf,Accessories,37,Tennessee,L,Blue,Spring,Yes,Yes,Cash,2025-02-02 21:49:57,2025-02-02 21:49:57
Sweater,Clothing,80,Tennessee,L,Lavender,Spring,Yes,Yes,Cash,2025-02-01 15:39:09,2025-02-01 15:39:09
Dress,Clothing,36,Tennessee,L,Cyan,Fall,Yes,Yes,Cash,2025-02-23 19:27:15,2025-02-23 19:27:15
Scarf,Accessories,37,Tennessee,L,Green,Fall,No,No,Bank Transfer,2025-03-12 22:19:07,2025-03-12 22:19:07
Blouse,Clothing,80,Tennessee,M,Pink,Fall,No,No,PayPal,2025-04-05 17:08:11,2025-04-05 17:08:11
Gloves,Accessories,49,Tennessee,L,Peach,Winter,Yes,Yes,Credit Card,2025-03-14 02:25:30,2025-03-14 02:25:30
Gloves,Accessories,26,Tennessee,S,Violet,Summer,No,No,Credit Card,2025-04-21 17:01:22,2025-04-21 17:01:22
Scarf,Accessories,83,Tennessee,S,Lavender,Fall,Yes,Yes,Debit Card,2025-02-02 13:13:00,2025-02-02 13:13:00
Jewelry,Accessories,48,Tennessee,L,Olive,Fall,No,No,Venmo,2025-02-15 15:13:24,2025-02-15 15:13:24
T-shirt,Clothing,57,Tennessee,M,Gray,Summer,No,No,Bank Transfer,2025-03-01 20:01:48,2025-03-01 20:01:48
Socks,Clothing,98,Tennessee,M,Red,Winter,No,No,Cash,2025-03-23 07:59:29,2025-03-23 07:59:29
Jeans,Clothing,93,Tennessee,M,Lavender,Fall,No,No,Bank Transfer,2025-04-17 02:14:04,2025-04-17 02:14:04
Dress,Clothing,52,Tennessee,S,Black,Fall,No,No,PayPal,2025-03-02 21:15:47,2025-03-02 21:15:47
Hat,Accessories,84,Tennessee,L,Teal,Spring,Yes,Yes,Cash,2025-02-23 11:45:53,2025-02-23 11:45:53
Socks,Clothing,62,Tennessee,M,Peach,Fall,Yes,Yes,Bank Transfer,2025-02-04 22:47:45,2025-02-04 22:47:45
Shirt,Clothing,29,Tennessee,L,Maroon,Summer,Yes,Yes,Venmo,2025-04-14 06:22:17,2025-04-14 06:22:17
Boots,Footwear,34,Tennessee,S,Olive,Spring,Yes,Yes,Debit Card,2025-03-05 12:52:37,2025-03-05 12:52:37
Skirt,Clothing,35,Tennessee,S,Purple,Winter,No,No,PayPal,2025-03-22 19:09:14,2025-03-22 19:09:14
Shoes,Footwear,22,Tennessee,L,Olive,Winter,No,No,Credit Card,2025-04-28 20:40:24,2025-04-28 20:40:24
Sneakers,Footwear,69,Tennessee,L,Turquoise,Summer,Yes,Yes,Credit Card,2025-01-30 12:37:11,2025-01-30 12:37:11
Handbag,Accessories,71,Tennessee,S,Lavender,Fall,No,No,Cash,2025-02-12 11:12:14,2025-02-12 11:12:14
Boots,Footwear,66,Tennessee,S,Charcoal,Spring,Yes,Yes,Debit Card,2025-04-10 11:16:40,2025-04-10 11:16:40
Blouse,Clothing,97,Tennessee,L,Green,Spring,Yes,Yes,Debit Card,2025-04-12 19:26:50,2025-04-12 19:26:50
Skirt,Clothing,70,Tennessee,S,Magenta,Winter,No,No,Venmo,2025-04-09 13:58:54,2025-04-09 13:58:54
Skirt,Clothing,25,Tennessee,L,Black,Fall,Yes,Yes,Debit Card,2025-03-19 16:33:28,2025-03-19 16:33:28
Skirt,Clothing,66,Tennessee,M,Orange,Spring,No,No,PayPal,2025-04-28 10:31:45,2025-04-28 10:31:45
Sandals,Footwear,28,Tennessee,M,Violet,Summer,No,No,PayPal,2025-03-07 00:32:22,2025-03-07 00:32:22
Belt,Accessories,98,Tennessee,L,Lavender,Spring,No,No,PayPal,2025-03-25 12:46:25,2025-03-25 12:46:25
Coat,Outerwear,43,Tennessee,M,Pink,Fall,No,No,Credit Card,2025-02-05 01:59:27,2025-02-05 01:59:27
Hat,Accessories,41,Tennessee,S,Charcoal,Fall,No,No,Debit Card,2025-03-08 06:03:34,2025-03-08 06:03:34
Hoodie,Clothing,96,Tennessee,M,Red,Fall,No,No,Bank Transfer,2025-04-05 09:03:17,2025-04-05 09:03:17
Blouse,Clothing,67,Tennessee,XL,Olive,Spring,No,No,Bank Transfer,2025-02-20 20:36:51,2025-02-20 20:36:51
Hoodie,Clothing,95,Tennessee,S,Green,Fall,No,No,PayPal,2025-04-25 06:54:03,2025-04-25 06:54:03
Sweater,Clothing,79,Tennessee,L,Black,Fall,Yes,Yes,Cash,2025-04-02 03:56:33,2025-04-02 03:56:33
Dress,Clothing,75,Tennessee,M,Charcoal,Spring,No,No,Debit Card,2025-02-25 06:03:08,2025-02-25 06:03:08
T-shirt,Clothing,59,Tennessee,M,Magenta,Fall,No,No,Debit Card,2025-04-09 13:26:45,2025-04-09 13:26:45
Blouse,Clothing,32,Tennessee,M,Violet,Winter,No,No,Cash,2025-02-06 20:43:47,2025-02-06 20:43:47
Shoes,Footwear,66,Tennessee,L,Brown,Winter,No,No,PayPal,2025-04-28 01:42:54,2025-04-28 01:42:54
Shorts,Clothing,65,Tennessee,XL,Brown,Spring,No,No,Bank Transfer,2025-02-03 19:35:02,2025-02-03 19:35:02
Belt,Accessories,85,Tennessee,S,Silver,Summer,No,No,Credit Card,2025-04-24 08:30:30,2025-04-24 08:30:30
Jewelry,Accessories,74,Tennessee,M,White,Winter,No,No,Bank Transfer,2025-02-22 03:05:19,2025-02-22 03:05:19
Scarf,Accessories,81,Tennessee,S,Gold,Spring,No,No,Venmo,2025-04-08 13:19:10,2025-04-08 13:19:10
Pants,Clothing,58,Tennessee,XL,Charcoal,Summer,No,No,PayPal,2025-01-30 09:20:10,2025-01-30 09:20:10
Jacket,Outerwear,46,Tennessee,M,Olive,Summer,No,No,Venmo,2025-02-22 06:04:53,2025-02-22 06:04:53
Hat,Accessories,31,Tennessee,S,Peach,Winter,No,No,Cash,2025-04-07 18:29:07,2025-04-07 18:29:07
Shirt,Clothing,79,Tennessee,M,Teal,Summer,No,No,Bank Transfer,2025-03-19 06:29:26,2025-03-19 06:29:26
Dress,Clothing,22,Tennessee,M,Yellow,Spring,Yes,Yes,Bank Transfer,2025-02-09 17:21:32,2025-02-09 17:21:32
T-shirt,Clothing,36,Tennessee,S,Pink,Spring,No,No,Cash,2025-03-06 19:01:25,2025-03-06 19:01:25
Scarf,Accessories,74,Tennessee,XL,Blue,Winter,No,No,Credit Card,2025-03-05 03:59:17,2025-03-05 03:59:17
Coat,Outerwear,57,Tennessee,M,Violet,Summer,No,No,Debit Card,2025-03-22 11:50:22,2025-03-22 11:50:22
Shoes,Footwear,91,Tennessee,L,Violet,Summer,No,No,Cash,2025-03-31 11:20:22,2025-03-31 11:20:22
Shirt,Clothing,91,Tennessee,M,Peach,Winter,Yes,Yes,Cash,2025-04-16 00:31:46,2025-04-16 00:31:46
Jeans,Clothing,41,Tennessee,M,Gold,Fall,No,No,Venmo,2025-03-16 02:41:59,2025-03-16 02:41:59
Scarf,Accessories,62,Tennessee,M,Charcoal,Winter,No,No,Bank Transfer,2025-03-06 15:33:07,2025-03-06 15:33:07
Sandals,Footwear,89,Tennessee,L,Orange,Spring,No,No,Cash,2025-02-12 08:01:21,2025-02-12 08:01:21
Hat,Accessories,90,Tennessee,M,Purple,Fall,No,No,Debit Card,2025-04-12 18:47:23,2025-04-12 18:47:23
Belt,Accessories,55,Tennessee,M,Turquoise,Spring,Yes,Yes,Credit Card,2025-04-04 13:20:38,2025-04-04 13:20:38
Hat,Accessories,56,Tennessee,M,Silver,Winter,No,No,Debit Card,2025-03-08 03:30:42,2025-03-08 03:30:42
Dress,Clothing,65,Tennessee,L,Charcoal,Fall,Yes,Yes,Bank Transfer,2025-03-18 00:28:21,2025-03-18 00:28:21
T-shirt,Clothing,64,Tennessee,M,Silver,Winter,Yes,Yes,Cash,2025-03-31 05:18:25,2025-03-31 05:18:25
Shorts,Clothing,64,Tennessee,L,Gray,Summer,Yes,Yes,Venmo,2025-02-14 04:59:32,2025-02-14 04:59:32
Jeans,Clothing,66,Tennessee,S,Maroon,Winter,Yes,Yes,PayPal,2025-02-01 19:53:50,2025-02-01 19:53:50
Gloves,Accessories,71,Tennessee,S,Violet,Summer,No,No,Debit Card,2025-02-27 22:40:03,2025-02-27 22:40:03
Boots,Footwear,70,Tennessee,S,Magenta,Summer,No,No,Cash,2025-03-24 23:02:42,2025-03-24 23:02:42
Blouse,Clothing,29,Tennessee,M,Magenta,Summer,Yes,Yes,Credit Card,2025-03-15 03:45:35,2025-03-15 03:45:35
Backpack,Accessories,49,Tennessee,M,Black,Winter,No,No,Debit Card,2025-04-02 16:24:09,2025-04-02 16:24:09
Gloves,Accessories,41,Tennessee,S,Silver,Spring,No,No,Credit Card,2025-04-14 02:53:15,2025-04-14 02:53:15
Shoes,Footwear,82,Tennessee,L,Gold,Winter,No,No,Bank Transfer,2025-03-15 07:43:28,2025-03-15 07:43:28
Skirt,Clothing,98,Tennessee,S,Cyan,Spring,No,No,Debit Card,2025-02-11 11:03:34,2025-02-11 11:03:34
Dress,Clothing,53,Tennessee,L,Gold,Summer,Yes,Yes,Debit Card,2025-04-16 21:40:59,2025-04-16 21:40:59
Shorts,Clothing,25,Tennessee,S,Brown,Spring,Yes,Yes,Cash,2025-03-23 02:34:52,2025-03-23 02:34:52
Pants,Clothing,40,Tennessee,M,Teal,Summer,Yes,Yes,Cash,2025-04-06 22:42:08,2025-04-06 22:42:08
Jewelry,Accessories,45,Tennessee,M,Turquoise,Winter,Yes,Yes,Cash,2025-04-03 18:32:53,2025-04-03 18:32:53
Blouse,Clothing,57,Tennessee,L,Silver,Summer,Yes,Yes,Debit Card,2025-04-27 11:32:47,2025-04-27 11:32:47
Shorts,Clothing,37,Tennessee,M,Gold,Summer,No,No,Credit Card,2025-02-25 22:44:44,2025-02-25 22:44:44
Hoodie,Clothing,20,Tennessee,L,Magenta,Spring,No,No,Credit Card,2025-04-03 19:56:04,2025-04-03 19:56:04
Handbag,Accessories,37,Tennessee,M,Maroon,Fall,No,No,PayPal,2025-03-04 06:40:20,2025-03-04 06:40:20
Skirt,Clothing,86,Tennessee,L,Purple,Spring,No,No,Bank Transfer,2025-03-06 22:52:08,2025-03-06 22:52:08
Hat,Accessories,76,Tennessee,L,Cyan,Winter,Yes,Yes,Credit Card,2025-02-20 03:01:51,2025-02-20 03:01:51
Backpack,Accessories,87,Tennessee,XL,Turquoise,Fall,No,No,Debit Card,2025-03-02 07:53:42,2025-03-02 07:53:42
Shoes,Footwear,38,Tennessee,XL,Magenta,Winter,No,No,PayPal,2025-04-25 16:32:59,2025-04-25 16:32:59
Sandals,Footwear,24,Tennessee,L,Beige,Fall,No,No,Debit Card,2025-02-25 16:50:15,2025-02-25 16:50:15
T-shirt,Clothing,47,Tennessee,M,Indigo,Summer,No,No,Debit Card,2025-02-21 12:16:15,2025-02-21 12:16:15
Shorts,Clothing,20,Tennessee,L,Cyan,Summer,No,No,Debit Card,2025-03-23 20:10:19,2025-03-23 20:10:19
Jacket,Outerwear,35,Tennessee,L,White,Summer,Yes,Yes,Cash,2025-02-22 14:16:36,2025-02-22 14:16:36
Sandals,Footwear,91,Tennessee,S,Cyan,Fall,Yes,Yes,PayPal,2025-03-13 23:13:01,2025-03-13 23:13:01
Belt,Accessories,46,Tennessee,M,Magenta,Fall,Yes,Yes,PayPal,2025-04-15 10:09:49,2025-04-15 10:09:49
Scarf,Accessories,65,Tennessee,M,Peach,Fall,Yes,Yes,PayPal,2025-02-20 02:36:41,2025-02-20 02:36:41
Sunglasses,Accessories,33,Tennessee,M,Indigo,Spring,No,No,Cash,2025-03-09 18:24:14,2025-03-09 18:24:14
Shorts,Clothing,84,Tennessee,S,Pink,Summer,No,No,Cash,2025-03-26 07:13:28,2025-03-26 07:13:28
Pants,Clothing,71,Tennessee,S,Magenta,Summer,No,No,PayPal,2025-03-20 11:11:24,2025-03-20 11:11:24
T-shirt,Clothing,34,Tennessee,M,Cyan,Summer,No,No,Credit Card,2025-04-28 01:36:16,2025-04-28 01:36:16
Scarf,Accessories,25,Tennessee,L,Silver,Spring,No,No,PayPal,2025-04-01 14:05:47,2025-04-01 14:05:47
Sandals,Footwear,33,Tennessee,M,Orange,Spring,Yes,Yes,Bank Transfer,2025-04-06 22:43:16,2025-04-06 22:43:16
Sweater,Clothing,96,Tennessee,XL,Charcoal,Fall,No,No,Debit Card,2025-04-27 08:50:06,2025-04-27 08:50:06
Pants,Clothing,51,Tennessee,S,Cyan,Summer,No,No,PayPal,2025-03-08 15:56:56,2025-03-08 15:56:56
Belt,Accessories,56,Tennessee,L,Olive,Winter,Yes,Yes,PayPal,2025-03-03 08:26:32,2025-03-03 08:26:32
Sweater,Clothing,41,Tennessee,XL,White,Spring,No,No,Credit Card,2025-02-03 07:52:34,2025-02-03 07:52:34
Jacket,Outerwear,31,Tennessee,L,Red,Winter,No,No,Credit Card,2025-02-15 22:52:27,2025-02-15 22:52:27
Skirt,Clothing,95,Tennessee,M,Green,Spring,Yes,Yes,Debit Card,2025-02-20 17:16:10,2025-02-20 17:16:10
Sweater,Clothing,20,Tennessee,M,Cyan,Spring,No,No,Credit Card,2025-02-15 21:21:48,2025-02-15 21:21:48
T-shirt,Clothing,27,Tennessee,M,White,Summer,No,No,Credit Card,2025-04-08 06:45:20,2025-04-08 06:45:20
Handbag,Accessories,33,Tennessee,M,Magenta,Fall,No,No,Debit Card,2025-03-19 14:08:54,2025-03-19 14:08:54
Jacket,Outerwear,81,Tennessee,M,Violet,Spring,No,No,Credit Card,2025-03-31 10:35:54,2025-03-31 10:35:54
Pants,Clothing,85,Tennessee,M,Charcoal,Winter,Yes,Yes,Debit Card,2025-04-14 04:33:18,2025-04-14 04:33:18
Pants,Clothing,74,Tennessee,M,Violet,Winter,Yes,Yes,Credit Card,2025-02-20 03:25:05,2025-02-20 03:25:05
Boots,Footwear,51,Tennessee,XL,Blue,Fall,No,No,PayPal,2025-02-28 16:50:49,2025-02-28 16:50:49
Shirt,Clothing,61,Tennessee,XL,Lavender,Summer,No,No,Debit Card,2025-04-04 02:31:37,2025-04-04 02:31:37
Belt,Accessories,24,Tennessee,L,Cyan,Winter,Yes,Yes,Cash,2025-03-06 17:08:37,2025-03-06 17:08:37
Skirt,Clothing,27,Tennessee,L,Black,Fall,No,No,Venmo,2025-02-02 00:22:23,2025-02-02 00:22:23
Coat,Outerwear,46,Tennessee,S,Beige,Fall,Yes,Yes,Credit Card,2025-03-10 12:14:43,2025-03-10 12:14:43
T-shirt,Clothing,99,Tennessee,L,Magenta,Spring,Yes,Yes,Credit Card,2025-04-22 02:08:19,2025-04-22 02:08:19
Skirt,Clothing,25,Tennessee,L,Red,Spring,Yes,Yes,Credit Card,2025-03-08 04:15:16,2025-03-08 04:15:16
Shoes,Footwear,65,Tennessee,M,Indigo,Spring,No,No,PayPal,2025-03-01 06:30:09,2025-03-01 06:30:09
Jeans,Clothing,91,Tennessee,L,Olive,Fall,No,No,PayPal,2025-04-29 09:33:42,2025-04-29 09:33:42
Belt,Accessories,97,Tennessee,M,Indigo,Winter,No,No,Venmo,2025-03-29 08:28:13,2025-03-29 08:28:13
Blouse,Clothing,95,Tennessee,L,Gray,Fall,No,No,Venmo,2025-03-04 07:22:01,2025-03-04 07:22:01
Coat,Outerwear,35,Tennessee,S,Green,Winter,Yes,Yes,Cash,2025-02-08 13:26:14,2025-02-08 13:26:14
Pants,Clothing,36,Tennessee,XL,Silver,Winter,No,No,Credit Card,2025-04-11 06:08:38,2025-04-11 06:08:38
Hat,Accessories,57,Tennessee,S,Red,Winter,Yes,Yes,Bank Transfer,2025-04-04 01:54:39,2025-04-04 01:54:39
Sunglasses,Accessories,31,Tennessee,M,Olive,Fall,No,No,Bank Transfer,2025-04-23 07:35:36,2025-04-23 07:35:36
T-shirt,Clothing,62,Tennessee,M,Maroon,Fall,No,No,Venmo,2025-02-18 22:16:31,2025-02-18 22:16:31
Shoes,Footwear,96,Tennessee,S,Maroon,Summer,No,No,Venmo,2025-02-09 17:17:55,2025-02-09 17:17:55
Jewelry,Accessories,91,Tennessee,M,Orange,Fall,No,No,Credit Card,2025-04-05 12:26:59,2025-04-05 12:26:59
Sunglasses,Accessories,97,Tennessee,S,Black,Fall,No,No,Cash,2025-02-17 16:18:31,2025-02-17 16:18:31
Gloves,Accessories,73,Tennessee,L,Peach,Winter,No,No,Cash,2025-02-15 05:23:07,2025-02-15 05:23:07
Hat,Accessories,71,Tennessee,L,Silver,Winter,No,No,Venmo,2025-02-28 03:38:28,2025-02-28 03:38:28
Pants,Clothing,41,Tennessee,L,Brown,Winter,Yes,Yes,Debit Card,2025-04-13 20:42:09,2025-04-13 20:42:09
Shoes,Footwear,85,Tennessee,L,Blue,Winter,No,No,Credit Card,2025-03-19 22:02:12,2025-03-19 22:02:12
Sandals,Footwear,98,Tennessee,M,Gold,Winter,No,No,Cash,2025-02-03 12:10:05,2025-02-03 12:10:05
Handbag,Accessories,79,Tennessee,XL,Orange,Fall,No,No,Debit Card,2025-03-13 02:43:32,2025-03-13 02:43:32
Sunglasses,Accessories,90,Tennessee,S,Purple,Winter,No,No,Debit Card,2025-04-01 21:53:21,2025-04-01 21:53:21
Blouse,Clothing,24,Tennessee,M,Magenta,Fall,No,No,Debit Card,2025-03-19 19:30:52,2025-03-19 19:30:52
Scarf,Accessories,96,Tennessee,S,Peach,Spring,Yes,Yes,Credit Card,2025-03-22 21:05:50,2025-03-22 21:05:50
Jeans,Clothing,89,Tennessee,M,Yellow,Summer,No,No,Cash,2025-02-19 14:28:17,2025-02-19 14:28:17
Coat,Outerwear,88,Tennessee,XL,Lavender,Summer,No,No,Venmo,2025-04-16 15:26:47,2025-04-16 15:26:47
Coat,Outerwear,85,Tennessee,XL,White,Spring,Yes,Yes,Venmo,2025-03-21 21:14:13,2025-03-21 21:14:13
Handbag,Accessories,78,Tennessee,M,Yellow,Winter,No,No,Venmo,2025-04-04 13:04:31,2025-04-04 13:04:31
Gloves,Accessories,33,Tennessee,M,Charcoal,Summer,No,No,PayPal,2025-04-28 17:01:19,2025-04-28 17:01:19
Sneakers,Footwear,73,Tennessee,S,Yellow,Spring,Yes,Yes,Cash,2025-03-09 21:39:29,2025-03-09 21:39:29
Pants,Clothing,67,Tennessee,M,Teal,Fall,No,No,Debit Card,2025-04-19 15:24:00,2025-04-19 15:24:00
Coat,Outerwear,24,Tennessee,XL,Blue,Spring,Yes,Yes,PayPal,2025-01-31 00:53:48,2025-01-31 00:53:48
Socks,Clothing,76,Tennessee,S,Beige,Winter,No,No,Venmo,2025-02-02 09:18:12,2025-02-02 09:18:12
Boots,Footwear,87,Tennessee,XL,Gold,Spring,Yes,Yes,Debit Card,2025-03-24 11:35:29,2025-03-24 11:35:29
Coat,Outerwear,57,Tennessee,S,Lavender,Spring,No,No,Debit Card,2025-02-27 09:35:47,2025-02-27 09:35:47
T-shirt,Clothing,98,Tennessee,XL,Green,Winter,No,No,Cash,2025-02-21 17:12:22,2025-02-21 17:12:22
Gloves,Accessories,84,Tennessee,XL,Olive,Spring,No,No,Credit Card,2025-02-24 09:14:22,2025-02-24 09:14:22
Pants,Clothing,79,Tennessee,L,Silver,Fall,Yes,Yes,Debit Card,2025-02-28 00:36:32,2025-02-28 00:36:32
Scarf,Accessories,40,Tennessee,M,Olive,Fall,Yes,Yes,Cash,2025-04-05 22:58:31,2025-04-05 22:58:31
